ecgi,cluster,municipio,lat,lon
724050683790307,SC401_CORREDOR,Florianopolis,-27.5865,-48.4968
724050683793381,ESTREITO_CAPOEIRAS,Florianopolis,-27.599258,-48.579861
724050683793438,NORTE_ILHA,Florianopolis,-27.482269,-48.491897
724050683884425,ESTREITO_CAPOEIRAS,Florianopolis,-27.601483,-48.592317
724050683898841,TRINDADE,Florianopolis,-27.594028,-48.520928
724050683935003,UFSC,Florianopolis,-27.594397,-48.556111
724050683935135,CANASVIEIRAS,Florianopolis,-27.4292,-48.458697
724050683935372,AEROPORTO_HLZ,Florianopolis,-27.7,-48.550647
724050683983270,CBD_BEIRAMAR,Florianopolis,-27.591528,-48.552775
724050684142457,CBD_BEIRAMAR,Florianopolis,-27.585,-48.544722
724050684142570,RESIDENCIAL_NORTE,Florianopolis,-27.529258,-48.514072
724050684142660,SAO_JOSE_KOBRASOL,Sao Jose,-27.6075,-48.638889
724050684144778,CBD_BEIRAMAR,Florianopolis,-27.595694,-48.548194
724050684145073,CBD_BEIRAMAR,Florianopolis,-27.587967,-48.555231
724050684145529,LAGOA_CONCEICAO,Florianopolis,-27.6044,-48.4752
724050684641810,SC401_CORREDOR,Florianopolis,-27.568425,-48.513053
724050684641828,CAMPECHE,Florianopolis,-27.656481,-48.509303
724050684641844,NORTE_ILHA,Florianopolis,-27.451714,-48.452175
724050684646269,SAO_JOSE_CENTRO,Sao Jose,-27.608008,-48.62685
724050685014142,ESTREITO_CAPOEIRAS,Florianopolis,-27.605047,-48.594306
724050685015130,PALHOCA_PEDRA_BRANCA,Palhoca,-27.622639,-48.674258
724050685015378,SAO_JOSE_ROÇADO,Sao Jose,-27.567222,-48.617175
724050685015394,SAO_JOSE_KOBRASOL,Sao Jose,-27.586064,-48.609675
724050687263808,INGLESES,Florianopolis,-27.439722,-48.387592
724050688192491,SAO_JOSE_ROÇADO,Sao Jose,-27.570694,-48.644742
724050696233975,PALHOCA_PEDRA_BRANCA,Palhoca,-27.641511,-48.7061
724050696483882,LAGOA_CONCEICAO,Florianopolis,-27.599642,-48.468531
724050696484153,TRINDADE,Florianopolis,-27.612097,-48.543378
724050696484161,ESTREITO_CAPOEIRAS,Florianopolis,-27.598331,-48.576389
724050696484269,AEROPORTO_HLZ,Florianopolis,-27.664203,-48.534994
724050696484277,CAMPECHE,Florianopolis,-27.682578,-48.491986
724050696484293,CANASVIEIRAS,Florianopolis,-27.434297,-48.460603
724050696484315,INGLESES,Florianopolis,-27.43975,-48.419811
724050696484323,NORTE_ILHA,Florianopolis,-27.497669,-48.419811
724050697326900,VIA_EXPRESSA_CORREDOR,Florianopolis,-27.612839,-48.593017
724050697341860,ESTREITO_CAPOEIRAS,Florianopolis,-27.596094,-48.599653
724050697341879,RESIDENCIAL_NORTE,Florianopolis,-27.542733,-48.505306
724050697342190,CBD_BEIRAMAR,Florianopolis,-27.5834,-48.544683
724050697342212,RESIDENCIAL_NORTE,Florianopolis,-27.528831,-48.513689
724050697368777,CBD_BEIRAMAR,Florianopolis,-27.595017,-48.548794
724050697397122,ESTREITO_CAPOEIRAS,Florianopolis,-27.5886,-48.590167
724050697545253,SC401_CORREDOR,Florianopolis,-27.537189,-48.527061
724050697605949,COQUEIROS,Florianopolis,-27.594117,-48.571572
724050697605965,CBD_BEIRAMAR,Florianopolis,-27.582264,-48.534361
724050697792102,CBD_BEIRAMAR,Florianopolis,-27.591372,-48.552747
724050698098013,SC401_CORREDOR,Florianopolis,-27.574,-48.533583
724050698410114,BIGUACU_BR101_NORTE,Biguacu,-27.531419,-48.635089
724050698410254,JURERE,Florianopolis,-27.489517,-48.535633
724050698410270,INGLESES,Florianopolis,-27.462892,-48.383642
724050698410289,PALHOCA_CENTRO,Palhoca,-27.637456,-48.666794
724050698422520,SC401_CORREDOR,Florianopolis,-27.5843,-48.501864
724050698571150,SAO_JOSE_ROÇADO,Sao Jose,-27.582717,-48.641497
724050698586638,SAO_JOSE_KOBRASOL,Sao Jose,-27.607781,-48.634719
724050698820037,CAMPECHE,Florianopolis,-27.658469,-48.506081
724050698820053,CAMPECHE,Florianopolis,-27.750786,-48.508767
724050699109663,NORTE_ILHA,Florianopolis,-27.482361,-48.491944
724050699109710,INGLESES,Florianopolis,-27.439417,-48.387583
724050699323290,AEROPORTO_HLZ,Florianopolis,-27.687672,-48.565403
724050699521815,JURERE,Florianopolis,-27.443222,-48.507111
724050699654432,TRINDADE,Florianopolis,-27.594083,-48.521139
724050699654467,SC401_CORREDOR,Florianopolis,-27.574556,-48.510583
724050699654513,LAGOA_CONCEICAO,Florianopolis,-27.572611,-48.430139
724050699654556,LAGOA_CONCEICAO,Florianopolis,-27.63325,-48.473389
724050699654920,JURERE,Florianopolis,-27.443417,-48.502056
724050699842719,SAO_JOSE_ROÇADO,Sao Jose,-27.56575,-48.626139
724050699844231,BIGUACU_BR101_NORTE,Biguacu,-27.51925,-48.640444
724050699844282,SAO_JOSE_KOBRASOL,Sao Jose,-27.594139,-48.612611
724050699861578,SAO_JOSE_KOBRASOL,Sao Jose,-27.572972,-48.617889
724050699861713,SAO_JOSE_ROÇADO,Sao Jose,-27.582278,-48.677056
724050699861772,ESTREITO_CAPOEIRAS,Sao Jose,-27.592778,-48.606389
724050699871808,SAO_JOSE_CENTRO,Sao Jose,-27.618972,-48.634694
724050699871824,SAO_JOSE_ROÇADO,Sao Jose,-27.570472,-48.644611
724050699925215,ESTREITO_CAPOEIRAS,Sao Jose,-27.578972,-48.609
724050699925231,SAO_JOSE_KOBRASOL,Sao Jose,-27.600833,-48.648111
724050699925240,ESTREITO_CAPOEIRAS,Sao Jose,-27.571944,-48.603917
724050699925258,SAO_JOSE_ROÇADO,Sao Jose,-27.5465,-48.629694
724050699925282,SAO_JOSE_KOBRASOL,Sao Jose,-27.599583,-48.620278
724050699979439,SAO_JOSE_CENTRO,Sao Jose,-27.600028,-48.608417
7240501000087309,SAO_JOSE_KOBRASOL,Sao Jose,-27.584058,-48.619528
7240501003294445,SC401_CORREDOR,Florianopolis,-27.538056,-48.527389
7240501003370664,SAO_JOSE_BARREIROS,Palhoca,-27.673358,-48.656689
7240501003484449,CBD_BEIRAMAR,Florianopolis,-27.594881,-48.54445
7240501003494940,SC401_CORREDOR,Florianopolis,-27.578531,-48.510769
7240501003495076,SAO_JOSE_KOBRASOL,Sao Jose,-27.594458,-48.637742
7240501003495238,TRINDADE,Florianopolis,-27.596111,-48.525528
7240501003495564,UFSC,Florianopolis,-27.593478,-48.552089
7240501003508453,VIA_EXPRESSA_CORREDOR,Florianopolis,-27.603972,-48.581722
7240501003510334,CBD_BEIRAMAR,Florianopolis,-27.580392,-48.542172
7240501003861722,TRINDADE,Florianopolis,-27.601811,-48.526975
7240501003862800,CBD_BEIRAMAR,Florianopolis,-27.586028,-48.547444
7240501003862931,CBD_BEIRAMAR,Florianopolis,-27.591397,-48.54975
7240501003962715,BIGUACU_BR101_NORTE,Biguacu,-27.508108,-48.654131
7240501004011684,ESTREITO_CAPOEIRAS,Florianopolis,-27.594453,-48.586731
7240501004550410,UFSC,Florianopolis,-27.590569,-48.557111
7240501004978224,BIGUACU_BR101_NORTE,Biguacu,-27.508108,-48.654131
7240501005162520,INGLESES,Florianopolis,-27.439442,-48.419442
7240501005162538,AEROPORTO_HLZ,Florianopolis,-27.66,-48.543331
7240501005162546,CAMPECHE,Florianopolis,-27.680831,-48.4925
7240501005162554,VIA_EXPRESSA_CORREDOR,Florianopolis,-27.616389,-48.587497
7240501005162562,ESTREITO_CAPOEIRAS,Florianopolis,-27.604942,-48.594306
7240501005162570,SC401_CORREDOR,Florianopolis,-27.574167,-48.533889
7240501005162589,CAMPECHE,Florianopolis,-27.751942,-48.504442
7240501005162597,LAGOA_CONCEICAO,Florianopolis,-27.573889,-48.431667
7240501005162600,CBD_BEIRAMAR,Florianopolis,-27.585,-48.543889
7240501005162619,TRINDADE,Florianopolis,-27.588331,-48.498056
7240501005162627,VIA_EXPRESSA_CORREDOR,Florianopolis,-27.603889,-48.577778
7240501005162635,UFSC,Florianopolis,-27.592608,-48.555469
7240501005162643,RESIDENCIAL_NORTE,Florianopolis,-27.542653,-48.505306
7240501005162651,INGLESES,Florianopolis,-27.466247,-48.382028
7240501005162660,JURERE,Florianopolis,-27.439567,-48.501131
7240501005162678,SC401_CORREDOR,Florianopolis,-27.578497,-48.510581
7240501005162686,ESTREITO_CAPOEIRAS,Florianopolis,-27.580831,-48.594167
7240501005162694,NORTE_ILHA,Florianopolis,-27.481442,-48.49175
7240501005162708,INGLESES,Florianopolis,-27.441667,-48.385831
7240501005162716,LAGOA_CONCEICAO,Florianopolis,-27.633306,-48.473306
7240501005162724,CAMPECHE,Florianopolis,-27.658331,-48.505831
7240501005162732,NORTE_ILHA,Florianopolis,-27.496108,-48.418608
7240501005162740,RESIDENCIAL_NORTE,Florianopolis,-27.554614,-48.497806
7240501005162759,ESTREITO_CAPOEIRAS,Florianopolis,-27.597667,-48.585108
7240501005162767,TRINDADE,Florianopolis,-27.583889,-48.523889
7240501005162775,CANASVIEIRAS,Florianopolis,-27.434294,-48.460597
7240501005162783,UFSC,Florianopolis,-27.596942,-48.549719
7240501005162791,RESIDENCIAL_NORTE,Florianopolis,-27.529167,-48.510831
7240501005162856,JURERE,Florianopolis,-27.439331,-48.489575
7240501005162864,LAGOA_CONCEICAO,Florianopolis,-27.609442,-48.449442
7240501005172207,CAMPECHE,Florianopolis,-27.705278,-48.505556
7240501005172215,NORTE_ILHA,Florianopolis,-27.451806,-48.452108
7240501005172223,TRINDADE,Florianopolis,-27.605831,-48.531389
7240501005309970,AEROPORTO_HLZ,Florianopolis,-27.699858,-48.550608
7240501005319917,SC401_CORREDOR,Florianopolis,-27.56265,-48.516522
7240501005373318,CENTRO_HISTORICO,Florianopolis,-27.60395,-48.546242
7240501005938420,AEROPORTO_HLZ,Florianopolis,-27.722875,-48.563117
