cluster_origem,municipio_origem,lat_origem,lon_origem,cluster_destino,municipio_destino,lat_destino,lon_destino,mesmo_cluster,n_usuarios,n_viagens,dist_media_km,periodo_predominante
CAMPECHE,Florianópolis,-27.68,-48.48,UFSC,Florianópolis,-27.5969,-48.55,0,7265,7609,11.53,TARDE
UFSC,Florianópolis,-27.5969,-48.55,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,10520,11205,0.258,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,15292,16708,8.737,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,TRINDADE,Florianópolis,-27.6011,-48.532,0,11054,11820,10.159,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,0,6066,6309,16.918,TARDE
BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,6308,6567,11.389,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,0,17662,19549,4.502,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,INGLESES,Florianópolis,-27.435,-48.395,0,15147,16638,25.309,TARDE
INGLESES,Florianópolis,-27.435,-48.395,TRINDADE,Florianópolis,-27.6011,-48.532,0,9683,10302,22.883,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,JURERE,Florianópolis,-27.44,-48.5,0,7499,7906,18.189,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,SAO_JOSE_CENTRO,São José,-27.61,-48.618,0,6229,6532,11.316,TARDE
SAO_JOSE_CENTRO,São José,-27.61,-48.618,INGLESES,Florianópolis,-27.435,-48.395,0,3908,4032,29.364,TARDE
INGLESES,Florianópolis,-27.435,-48.395,AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,0,7537,7948,30.122,TARDE
AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,CAMPECHE,Florianópolis,-27.68,-48.48,0,8592,9076,6.691,TARDE
INGLESES,Florianópolis,-27.435,-48.395,SAO_JOSE_ROÇADO,,0.0,0.0,0,8721,9260,0.0,TARDE
SAO_JOSE_ROÇADO,,0.0,0.0,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,10704,11512,0.0,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,CAMPECHE,Florianópolis,-27.68,-48.48,0,12311,13276,17.54,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,0,6152,6405,26.844,TARDE
BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,SC401_CORREDOR,Florianópolis,-27.56,-48.518,0,7536,7887,15.321,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,RESIDENCIAL_NORTE,Florianópolis,-27.542,-48.5,0,13441,14584,7.592,TARDE
RESIDENCIAL_NORTE,Florianópolis,-27.542,-48.5,INGLESES,Florianópolis,-27.435,-48.395,0,7579,7987,15.774,TARDE
INGLESES,Florianópolis,-27.435,-48.395,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,8722,9231,19.96,TARDE
LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,0,7656,8112,11.211,TARDE
AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,SAO_JOSE_CENTRO,São José,-27.61,-48.618,0,3645,3767,9.666,TARDE
PALHOCA_PEDRA_BRANCA,Palhoça,-27.625,-48.69,ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,0,4437,4600,11.134,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,COQUEIROS,Florianópolis,-27.582,-48.57,0,2582,2662,1.622,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,TRINDADE,Florianópolis,-27.6011,-48.532,0,14430,15714,4.774,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,12113,13024,9.681,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,CANASVIEIRAS,Florianópolis,-27.425,-48.47,0,5113,5339,24.624,TARDE
CANASVIEIRAS,Florianópolis,-27.425,-48.47,SAO_JOSE_ROÇADO,,0.0,0.0,0,3898,4022,0.0,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,INGLESES,Florianópolis,-27.435,-48.395,0,9887,10554,22.883,TARDE
INGLESES,Florianópolis,-27.435,-48.395,SC401_CORREDOR,Florianópolis,-27.56,-48.518,0,12628,13600,18.449,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,JURERE,Florianópolis,-27.44,-48.5,0,9843,10503,13.461,TARDE
JURERE,Florianópolis,-27.44,-48.5,CAMPECHE,Florianópolis,-27.68,-48.48,0,7001,7333,26.76,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,9850,10536,8.569,TARDE
JURERE,Florianópolis,-27.44,-48.5,NORTE_ILHA,Florianópolis,-27.48,-48.45,0,6421,6702,6.642,TARDE
NORTE_ILHA,Florianópolis,-27.48,-48.45,COQUEIROS,Florianópolis,-27.582,-48.57,0,1461,1492,16.39,TARDE
COQUEIROS,Florianópolis,-27.582,-48.57,SAO_JOSE_ROÇADO,,0.0,0.0,0,1333,1357,0.0,TARDE
NORTE_ILHA,Florianópolis,-27.48,-48.45,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,14359,15600,16.063,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,SAO_JOSE_CENTRO,São José,-27.61,-48.618,0,5146,5349,2.045,TARDE
SAO_JOSE_CENTRO,São José,-27.61,-48.618,UFSC,Florianópolis,-27.5969,-48.55,0,2859,2934,6.857,TARDE
UFSC,Florianópolis,-27.5969,-48.55,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,6411,6687,8.914,TARDE
LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,SAO_JOSE_CENTRO,São José,-27.61,-48.618,0,4239,4393,15.578,TARDE
SAO_JOSE_CENTRO,São José,-27.61,-48.618,NORTE_ILHA,Florianópolis,-27.48,-48.45,0,3843,3961,21.984,TARDE
VIA_EXPRESSA_CORREDOR,Florianópolis,-27.62,-48.58,TRINDADE,Florianópolis,-27.6011,-48.532,0,5786,6040,5.175,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,9681,10315,7.108,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,NORTE_ILHA,Florianópolis,-27.48,-48.45,0,11064,11796,21.874,TARDE
NORTE_ILHA,Florianópolis,-27.48,-48.45,CANASVIEIRAS,Florianópolis,-27.425,-48.47,0,4045,4174,6.426,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,UFSC,Florianópolis,-27.5969,-48.55,0,11399,12229,0.258,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,NORTE_ILHA,Florianópolis,-27.48,-48.45,0,9853,10492,15.706,TARDE
NORTE_ILHA,Florianópolis,-27.48,-48.45,INGLESES,Florianópolis,-27.435,-48.395,0,8597,9129,7.382,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,0,7979,8392,15.321,TARDE
BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,0,8507,8994,12.433,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,UFSC,Florianópolis,-27.5969,-48.55,0,11413,12206,3.588,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,SC401_CORREDOR,Florianópolis,-27.56,-48.518,0,15886,17368,11.705,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,CAMPECHE,Florianópolis,-27.68,-48.48,0,14668,16048,13.859,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,CANASVIEIRAS,Florianópolis,-27.425,-48.47,0,4708,4891,28.372,TARDE
CANASVIEIRAS,Florianópolis,-27.425,-48.47,RESIDENCIAL_NORTE,Florianópolis,-27.542,-48.5,0,3331,3444,13.342,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,SC401_CORREDOR,Florianópolis,-27.56,-48.518,0,14301,15578,4.774,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,NORTE_ILHA,Florianópolis,-27.48,-48.45,0,13309,14486,11.14,TARDE
NORTE_ILHA,Florianópolis,-27.48,-48.45,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,10958,11697,21.874,TARDE
CANASVIEIRAS,Florianópolis,-27.425,-48.47,BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,0,2297,2358,19.844,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,VIA_EXPRESSA_CORREDOR,Florianópolis,-27.62,-48.58,0,9424,9991,3.592,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,16124,17760,11.705,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,TRINDADE,Florianópolis,-27.6011,-48.532,0,16858,18644,5.422,TARDE
NORTE_ILHA,Florianópolis,-27.48,-48.45,CAMPECHE,Florianópolis,-27.68,-48.48,0,9734,10404,22.435,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,SAO_JOSE_CENTRO,São José,-27.61,-48.618,0,4783,4974,15.664,TARDE
JURERE,Florianópolis,-27.44,-48.5,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,10429,11128,17.916,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,SC401_CORREDOR,Florianópolis,-27.56,-48.518,0,21770,24631,4.923,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,INGLESES,Florianópolis,-27.435,-48.395,0,10932,11697,29.217,TARDE
INGLESES,Florianópolis,-27.435,-48.395,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,14261,15496,23.362,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,SAO_JOSE_CENTRO,São José,-27.61,-48.618,0,7106,7502,7.086,TARDE
SAO_JOSE_CENTRO,São José,-27.61,-48.618,RESIDENCIAL_NORTE,Florianópolis,-27.542,-48.5,0,3399,3528,13.872,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,PALHOCA_CENTRO,Palhoça,-27.645,-48.67,0,1601,1636,14.446,TARDE
PALHOCA_CENTRO,Palhoça,-27.645,-48.67,CAMPECHE,Florianópolis,-27.68,-48.48,0,1506,1545,19.113,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,0,15957,17522,14.548,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,SC401_CORREDOR,Florianópolis,-27.56,-48.518,0,21541,24306,7.301,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,21359,24097,4.923,TARDE
JURERE,Florianópolis,-27.44,-48.5,AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,0,5530,5759,25.991,TARDE
AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,0,12364,13288,9.857,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,18784,20940,4.502,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,CAMPECHE,Florianópolis,-27.68,-48.48,0,17064,18842,11.548,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,SC401_CORREDOR,Florianópolis,-27.56,-48.518,0,14274,15578,13.859,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,UFSC,Florianópolis,-27.5969,-48.55,0,10010,10651,5.175,TARDE
UFSC,Florianópolis,-27.5969,-48.55,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,7753,8210,7.886,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,0,15980,17482,5.422,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,RESIDENCIAL_NORTE,Florianópolis,-27.542,-48.5,0,13323,14443,9.817,TARDE
RESIDENCIAL_NORTE,Florianópolis,-27.542,-48.5,SC401_CORREDOR,Florianópolis,-27.56,-48.518,0,10827,11605,2.675,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,13111,14239,7.597,TARDE
LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,14026,15184,8.737,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,INGLESES,Florianópolis,-27.435,-48.395,0,13248,14328,18.449,TARDE
CANASVIEIRAS,Florianópolis,-27.425,-48.47,NORTE_ILHA,Florianópolis,-27.48,-48.45,0,3915,4036,6.426,TARDE
INGLESES,Florianópolis,-27.435,-48.395,CAMPECHE,Florianópolis,-27.68,-48.48,0,9736,10411,28.502,TARDE
AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,CANASVIEIRAS,Florianópolis,-27.425,-48.47,0,3568,3689,28.281,TARDE
CANASVIEIRAS,Florianópolis,-27.425,-48.47,SC401_CORREDOR,Florianópolis,-27.56,-48.518,0,5724,5983,15.74,TARDE
SAO_JOSE_CENTRO,São José,-27.61,-48.618,TRINDADE,Florianópolis,-27.6011,-48.532,0,4433,4586,8.532,TARDE
COQUEIROS,Florianópolis,-27.582,-48.57,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,1322,1344,11.138,TARDE
LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,JURERE,Florianópolis,-27.44,-48.5,0,6426,6710,18.766,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,0,13269,14428,8.296,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,VIA_EXPRESSA_CORREDOR,Florianópolis,-27.62,-48.58,0,6009,6271,5.175,TARDE
VIA_EXPRESSA_CORREDOR,Florianópolis,-27.62,-48.58,SC401_CORREDOR,Florianópolis,-27.56,-48.518,0,7356,7733,9.047,TARDE
SAO_JOSE_CENTRO,São José,-27.61,-48.618,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,6388,6693,7.086,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,18520,20593,8.081,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,CENTRO_HISTORICO,Florianópolis,-27.597,-48.5482,0,2574,2636,3.762,TARDE
CENTRO_HISTORICO,Florianópolis,-27.597,-48.5482,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,1293,1319,8.737,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,15198,16713,12.462,TARDE
LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,SAO_JOSE_BARREIROS,São José,-27.645,-48.65,0,1376,1414,19.24,TARDE
CANASVIEIRAS,Florianópolis,-27.425,-48.47,UFSC,Florianópolis,-27.5969,-48.55,0,2906,3013,20.679,TARDE
AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,UFSC,Florianópolis,-27.5969,-48.55,0,5665,5910,8.134,TARDE
RESIDENCIAL_NORTE,Florianópolis,-27.542,-48.5,SAO_JOSE_ROÇADO,,0.0,0.0,0,7669,8084,0.0,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,11050,11818,16.789,TARDE
JURERE,Florianópolis,-27.44,-48.5,VIA_EXPRESSA_CORREDOR,Florianópolis,-27.62,-48.58,0,3948,4070,21.513,TARDE
VIA_EXPRESSA_CORREDOR,Florianópolis,-27.62,-48.58,CAMPECHE,Florianópolis,-27.68,-48.48,0,5879,6146,11.897,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,PALHOCA_CENTRO,Palhoça,-27.645,-48.67,0,2555,2611,10.503,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,CANASVIEIRAS,Florianópolis,-27.425,-48.47,0,7012,7338,20.45,TARDE
VIA_EXPRESSA_CORREDOR,Florianópolis,-27.62,-48.58,AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,0,4584,4765,6.44,TARDE
LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,CANASVIEIRAS,Florianópolis,-27.425,-48.47,0,4085,4225,20.039,TARDE
PALHOCA_PEDRA_BRANCA,Palhoça,-27.625,-48.69,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,2590,2662,22.77,TARDE
LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,CAMPECHE,Florianópolis,-27.68,-48.48,0,9866,10528,8.569,TARDE
CANASVIEIRAS,Florianópolis,-27.425,-48.47,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,6417,6716,20.45,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,VIA_EXPRESSA_CORREDOR,Florianópolis,-27.62,-48.58,0,6825,7131,5.657,TARDE
VIA_EXPRESSA_CORREDOR,Florianópolis,-27.62,-48.58,SAO_JOSE_BARREIROS,São José,-27.645,-48.65,0,868,878,7.435,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,CAMPECHE,Florianópolis,-27.68,-48.48,0,16916,18687,14.548,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,SAO_JOSE_BARREIROS,São José,-27.645,-48.65,0,2535,2633,11.463,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,TRINDADE,Florianópolis,-27.6011,-48.532,0,16917,18672,1.699,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,INGLESES,Florianópolis,-27.435,-48.395,0,15170,16628,23.362,TARDE
INGLESES,Florianópolis,-27.435,-48.395,ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,0,14260,15481,25.309,TARDE
INGLESES,Florianópolis,-27.435,-48.395,BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,0,5271,5475,26.506,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,SAO_JOSE_ROÇADO,,0.0,0.0,0,13155,14235,0.0,TARDE
BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,VIA_EXPRESSA_CORREDOR,Florianópolis,-27.62,-48.58,0,3139,3236,15.743,TARDE
AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,12419,13375,8.296,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,15862,17438,11.548,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,0,8673,9216,6.691,TARDE
COQUEIROS,Florianópolis,-27.582,-48.57,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,2175,2220,2.631,TARDE
NORTE_ILHA,Florianópolis,-27.48,-48.45,TRINDADE,Florianópolis,-27.6011,-48.532,0,9792,10462,15.706,TARDE
INGLESES,Florianópolis,-27.435,-48.395,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,10641,11360,29.217,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,NORTE_ILHA,Florianópolis,-27.48,-48.45,0,9879,10536,22.435,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,0,21376,23946,7.301,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,0,13377,14461,9.857,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,RESIDENCIAL_NORTE,Florianópolis,-27.542,-48.5,0,8643,9135,15.471,TARDE
RESIDENCIAL_NORTE,Florianópolis,-27.542,-48.5,ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,0,12281,13212,9.817,TARDE
AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,SAO_JOSE_ROÇADO,,0.0,0.0,0,7615,8023,0.0,TARDE
SAO_JOSE_ROÇADO,,0.0,0.0,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,8689,9220,0.0,TARDE
LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,0,14225,15479,12.462,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,SAO_JOSE_BARREIROS,São José,-27.645,-48.65,0,1781,1821,5.899,TARDE
SAO_JOSE_BARREIROS,São José,-27.645,-48.65,NORTE_ILHA,Florianópolis,-27.48,-48.45,0,1364,1392,26.931,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,12295,13279,17.54,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,TRINDADE,Florianópolis,-27.6011,-48.532,0,12167,13123,9.681,TARDE
LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,10742,11535,16.789,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,0,9852,10479,11.679,TARDE
UFSC,Florianópolis,-27.5969,-48.55,TRINDADE,Florianópolis,-27.6011,-48.532,0,7124,7459,1.834,TARDE
VIA_EXPRESSA_CORREDOR,Florianópolis,-27.62,-48.58,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,8548,9023,4.174,TARDE
SAO_JOSE_ROÇADO,,0.0,0.0,CAMPECHE,Florianópolis,-27.68,-48.48,0,9708,10314,0.0,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,UFSC,Florianópolis,-27.5969,-48.55,0,7310,7703,1.834,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,NORTE_ILHA,Florianópolis,-27.48,-48.45,0,15178,16624,16.063,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,15942,17583,1.699,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,VIA_EXPRESSA_CORREDOR,Florianópolis,-27.62,-48.58,0,9254,9861,4.174,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,SAO_JOSE_ROÇADO,,0.0,0.0,0,15194,16627,0.0,TARDE
RESIDENCIAL_NORTE,Florianópolis,-27.542,-48.5,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,9299,9909,14.104,TARDE
INGLESES,Florianópolis,-27.435,-48.395,COQUEIROS,Florianópolis,-27.582,-48.57,0,1425,1467,23.771,TARDE
SAO_JOSE_ROÇADO,,0.0,0.0,TRINDADE,Florianópolis,-27.6011,-48.532,0,9734,10343,0.0,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,0,8678,9220,7.803,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,NORTE_ILHA,Florianópolis,-27.48,-48.45,0,15356,16771,17.928,TARDE
LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,NORTE_ILHA,Florianópolis,-27.48,-48.45,0,8879,9406,13.934,TARDE
NORTE_ILHA,Florianópolis,-27.48,-48.45,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,8856,9389,13.934,TARDE
